openTime,open,high,low,close,Volume,closeTime,ema_20,ema_50,ema_100,ema_200
2026/6/29 5:00,59634.1,59773.8,59300,59418.1,4650.66,2026/6/29 5:59,59873.96,60080.7,60501.35,61386.38
2026/6/29 6:00,59418.1,59883.2,58888,59040.1,13650.07,2026/6/29 6:59,59794.54,60039.89,60472.41,61363.03
2026/6/29 7:00,59040,59820.4,58975,59550.2,7711.36,2026/6/29 7:59,59771.27,60020.69,60454.15,61344.99
2026/6/29 8:00,59550.2,59678.1,58978.2,59637.3,9238.49,2026/6/29 8:59,59758.51,60005.65,60437.97,61328
2026/6/29 9:00,59637.3,59674.3,59170.5,59413,5035.29,2026/6/29 9:59,59725.61,59982.41,60417.68,61308.95
2026/6/29 10:00,59413,59788,58850,59731.7,13997.78,2026/6/29 10:59,59726.19,59972.58,60404.09,61293.25
2026/6/29 11:00,59731.8,60219.4,59731.8,60019.8,9982.3,2026/6/29 11:59,59754.15,59974.43,60396.48,61280.58
2026/6/29 12:00,60019.9,60031.5,59717,59806.2,2746.07,2026/6/29 12:59,59759.11,59967.83,60384.79,61265.91
2026/6/29 13:00,59806.2,60088,59360.3,60082.7,6969.25,2026/6/29 13:59,59789.93,59972.34,60378.81,61254.14
2026/6/29 14:00,60082.7,60325,60022.2,60051,7372,2026/6/29 14:59,59814.79,59975.42,60372.32,61242.16
2026/6/29 15:00,60051.1,60162.5,59900.7,59998.9,3635.78,2026/6/29 15:59,59832.32,59976.34,60364.93,61229.79
2026/6/29 16:00,59998.9,60070.1,59712.8,59806.9,4899.42,2026/6/29 16:59,59829.9,59969.7,60353.88,61215.64
2026/6/29 17:00,59806.9,60089.1,59750.1,60031.3,5094.51,2026/6/29 17:59,59849.08,59972.11,60347.49,61203.85
2026/6/29 18:00,60031.3,60287.1,60031.3,60062.4,5511.91,2026/6/29 18:59,59869.4,59975.65,60341.84,61192.49
2026/6/29 19:00,60062.3,60193.2,59770.4,59927.2,6062.81,2026/6/29 19:59,59874.9,59973.75,60333.63,61179.9
2026/6/29 20:00,59927.2,60758.3,59552.6,59923.5,34963.61,2026/6/29 20:59,59879.53,59971.78,60325.51,61167.4
2026/6/29 21:00,59923.5,60313,59302.8,59559.3,21676.38,2026/6/29 21:59,59849.03,59955.61,60310.34,61151.4
2026/6/29 22:00,59559.4,59689.6,58988,59444,22336.28,2026/6/29 22:59,59810.46,59935.54,60293.18,61134.41
2026/6/29 23:00,59444.1,59939.2,59067.6,59800.2,18439.21,2026/6/29 23:59,59809.48,59930.24,60283.42,61121.14
2026/6/30 0:00,59800.3,59999,59562.6,59870.9,6543.24,2026/6/30 0:59,59815.33,59927.91,60275.25,61108.7
2026/6/30 1:00,59870.9,60666.6,59870.9,60396,17431.19,2026/6/30 1:59,59870.63,59946.27,60277.64,61101.6
2026/6/30 2:00,60396,60500.1,60150.2,60275.4,6924.68,2026/6/30 2:59,59909.18,59959.17,60277.6,61093.38
2026/6/30 3:00,60275.4,60540,60127.4,60409.3,6026.14,2026/6/30 3:59,59956.81,59976.83,60280.21,61086.58
2026/6/30 4:00,60409.3,60535,60265.1,60271.2,4954.15,2026/6/30 4:59,59986.75,59988.37,60280.03,61078.46
2026/6/30 5:00,60271.2,60565.6,60232.1,60454.9,2822.03,2026/6/30 5:59,60031.34,60006.67,60283.49,61072.26
2026/6/30 6:00,60454.9,60493.2,60314,60326.5,2066.4,2026/6/30 6:59,60059.45,60019.21,60284.34,61064.84
2026/6/30 7:00,60326.4,60353.9,60134,60224.7,3047.36,2026/6/30 7:59,60075.19,60027.27,60283.16,61056.48
2026/6/30 8:00,60224.7,60250,59667.5,59806.1,9133.25,2026/6/30 8:59,60049.56,60018.59,60273.72,61044.04
2026/6/30 9:00,59806.1,60024.9,59740,59919.6,4682.31,2026/6/30 9:59,60037.18,60014.71,60266.7,61032.85
2026/6/30 10:00,59919.6,60021.4,59719.6,59920.4,3470.21,2026/6/30 10:59,60026.06,60011.01,60259.85,61021.78
2026/6/30 11:00,59920.4,60007.9,59570,59596.1,5570.5,2026/6/30 11:59,59985.11,59994.74,60246.7,61007.59
2026/6/30 12:00,59596.1,59672.1,59400,59458.3,8066.54,2026/6/30 12:59,59934.94,59973.7,60231.09,60992.18
2026/6/30 13:00,59458.3,59633.5,59329.2,59627.7,7258.54,2026/6/30 13:59,59905.68,59960.14,60219.14,60978.6
2026/6/30 14:00,59627.8,59698.9,59488.6,59571.7,3736.82,2026/6/30 14:59,59873.87,59944.9,60206.32,60964.6
2026/6/30 15:00,59571.6,59611.7,59423.3,59497.7,3824.5,2026/6/30 15:59,59838.05,59927.37,60192.29,60950.01
2026/6/30 16:00,59497.7,59532.7,59159,59285.8,8863.33,2026/6/30 16:59,59785.45,59902.21,60174.34,60933.45
2026/6/30 17:00,59285.8,59397,59225,59348.7,4167.96,2026/6/30 17:59,59743.86,59880.5,60157.99,60917.68
2026/6/30 18:00,59348.7,59403,59264.5,59303.6,2380.9,2026/6/30 18:59,59701.93,59857.88,60141.07,60901.62
2026/6/30 19:00,59303.7,59399.3,59100,59162.3,6214.32,2026/6/30 19:59,59650.53,59830.6,60121.69,60884.31
2026/6/30 20:00,59162.2,59162.3,58351,58374.8,25243.04,2026/6/30 20:59,59529.04,59773.51,60087.1,60859.34
2026/6/30 21:00,58374.8,58791.7,58200,58711.9,26034.56,2026/6/30 21:59,59451.21,59731.88,60059.87,60837.97
2026/6/30 22:00,58711.8,59264.4,58400.1,58458.6,23045.69,2026/6/30 22:59,59356.68,59681.94,60028.16,60814.3
2026/6/30 23:00,58458.7,58785.6,58160,58356.2,18133.22,2026/6/30 23:59,59261.39,59629.95,59995.05,60789.84
2026/7/1 0:00,58356.2,58617.4,58223.3,58479.3,7812.9,2026/7/1 0:59,59186.91,59584.83,59965.03,60766.85
2026/7/1 1:00,58479.2,58604.8,58290,58396.7,4252.19,2026/7/1 1:59,59111.65,59538.24,59933.98,60743.27
2026/7/1 2:00,58396.8,58675,58334,58659.8,4692.25,2026/7/1 2:59,59068.62,59503.79,59908.75,60722.53
2026/7/1 3:00,58659.9,58819.9,58560,58794.4,4770.76,2026/7/1 3:59,59042.5,59475.97,59886.68,60703.35
2026/7/1 4:00,58794,58850,58621.3,58708,3590.11,2026/7/1 4:59,59010.64,59445.85,59863.34,60683.49
2026/7/1 5:00,58708,58744.3,58472.3,58612.1,3145.53,2026/7/1 5:59,58972.69,59413.16,59838.56,60662.88
2026/7/1 6:00,58612.3,58780,58477.1,58575.8,2005.28,2026/7/1 6:59,58934.89,59380.32,59813.56,60642.12
2026/7/1 7:00,58575.7,58636.7,58518.8,58605.4,1551.59,2026/7/1 7:59,58903.51,59349.93,59789.63,60621.85
2026/7/1 8:00,58605.4,58720,58270,58548.7,5536.73,2026/7/1 8:59,58869.72,59318.51,59765.06,60601.22
2026/7/1 9:00,58548.7,58991.6,57758.6,58741.7,28902.83,2026/7/1 9:59,58857.53,59295.89,59744.8,60582.72
2026/7/1 10:00,58741.8,59152,58632.4,59063.3,12017.6,2026/7/1 10:59,58877.12,59286.77,59731.3,60567.6
2026/7/1 11:00,59063.3,59298.4,58823.9,59169.6,9833.13,2026/7/1 11:59,58904.98,59282.17,59720.18,60553.69
2026/7/1 12:00,59169.7,59444.5,59030.9,59311.2,5966.19,2026/7/1 12:59,58943.67,59283.31,59712.08,60541.33
2026/7/1 13:00,59311.1,59350,59085,59122.4,4463.09,2026/7/1 13:59,58960.69,59277,59700.4,60527.21
2026/7/1 14:00,59122.3,59130,58500.1,58726.8,13792.73,2026/7/1 14:59,58938.41,59255.43,59681.12,60509.29
2026/7/1 15:00,58726.7,58797.6,58567.2,58744.4,4204.79,2026/7/1 15:59,58919.94,59235.39,59662.58,60491.73
2026/7/1 16:00,58744.4,58965,58450.7,58950.8,6346.26,2026/7/1 16:59,58922.88,59224.22,59648.48,60476.4
2026/7/1 17:00,58950.8,59069.7,58792.8,58921.4,5253.47,2026/7/1 17:59,58922.73,59212.35,59634.08,60460.93
2026/7/1 18:00,58921.4,58923.3,58590.9,58631.6,3734.41,2026/7/1 18:59,58895.01,59189.57,59614.23,60442.73
2026/7/1 19:00,58631.6,58733.5,58524.2,58592.9,3608.45,2026/7/1 19:59,58866.24,59166.18,59594.01,60424.32
2026/7/1 20:00,58592.8,58655.6,58294.1,58495.6,8651.07,2026/7/1 20:59,58830.94,59139.88,59572.26,60405.13
